"%s product requires your attention.","%s Produkt benötigt Ihre Aufmerksamkeit."
"%s product was added to your shopping cart.","%s Produkt wurde zu Ihrem Einkaufswagen hinzugefügt."
"%s products require your attention.","%s Produkte benötigen Ihre Aufmerksamkeit."
"%s products were added to your shopping cart.","%s Produkte wurden zu Ihrem Einkaufswagen hinzugefügt."
"%s was added to your shopping cart.","%s wurde zu Ihrem Einkaufswagen hinzugefügt."
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> Produkt(e) benötigen Ihre Aufmerksamkeit"
"Access denied.","Zugang verweigert."
"Action","Aktion"
"Add Products","Produkte hinzufügen"
"Add Products By SKU","Produkte über SKU hinzufügen"
"Add Products to Order","Produkte zur Bestellung hinzufügen"
"Add Selected Product(s) to Shopping Cart","Ausgewählte(s) Produkt(e) in den Warenkorb legen."
"Add To Cart","Zum Einkaufswagen hinzufügen"
"Add to Order","Zu Bestellungen hinzufügen"
"Add to Order by SKU","Zur Bestellung über SKU hinzufügen"
"Add to Shopping Cart","Zum Einkaufswagen hinzufügen"
"Add to Shopping Cart by SKU","Zum Einkaufswagen über SKU hinzufügen"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Erlaubter Dateityp: csv<br/>Die Datei muss zwei Spalten enthalten mit ""sku"" und ""qty"" in der Kopfzeile."
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Genauere Informationen finden Sie im Fehlerprotokoll."
"Apply","Anwenden"
"Apply Coupon","Coupon verrechnen"
"Apply Coupon Code","Gutschein-Code anwenden"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass Sie alle Artikel aus dem Einkaufswagen löschen möchten?"
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"Cancel","Abbrechen"
"Cannot add product","Produkt kann nicht hinzugefügt werden"
"Cannot configure product","Produkt kann nicht konfiguriert werden"
"Choose some products to add to shopping cart.","Wählen Sie einige Produkte, um diese dem Warenkorb hinzuzufügen."
"Clear Shopping Cart","Einkaufswagen leeren"
"Configure","Konfigurieren"
"Coupon code ""%s"" is not valid","Couponcode ""%s"" ist ungültig"
"Customer Groups","Kundengruppen"
"Customer not found","Kunde nicht gefunden"
"Customers","Kunden"
"Defines whether a link to My Account > Order by SKU page will be displayed on the widget","Definiert, ob ein Link zur Seite Mein Konto > Bestellung über SKU im Widget angezeigt wird"
"Disabled products cannot be added.","Deaktivierte Produkte können nicht hinzugefügt werden."
"Discount","Ermäßigung"
"Display a Link to Loading a Spreadsheet","Link anzeigen zu Tabelle laden"
"Enable Order by SKU on My Account in Frontend","Bestellung über SKU in Mein Konto im Frontend aktivieren"
"Excl. Tax","Exkl. Steuer"
"Failed to add a product of order item","Produkt konnte nicht zur Auftragsposition hinzugefügt werden"
"Failed to reorder item","Produkt konnte nicht wieder bestellt werden"
"File","Datei"
"File cannot be uploaded.","Die Datei kann nicht hochgeladen werden."
"File is corrupt.","Die Datei ist fehlerbehaftet."
"File is empty.","Die Datei ist leer."
"Get notified when back in stock","Über Verfügbarkeit benachrichtigen lassen"
"ID","ID"
"Incl. Tax","Inkl. Steuer"
"Invalid block: %s.","Ungültiger Block: %s."
"Item was successfully removed.","Der Artikel wurde erfolgreich entfernt."
"Items were successfully removed.","Die Artikel wurden erfolgreich gelöscht."
"Last ordered items (%s)","Zuletzt bestellte Artikel (%s)"
"Link Text","Link-Text"
"Load a list of SKUs","Liste der SKUs laden"
"Manage Customers","Kunden verwalten"
"Manage Shopping Cart","Warenkorb verwalten"
"Move to Wishlist","In Wunschliste verschieben"
"No","Nein"
"No ordered items","Keine bestellten Artikel"
"Only %s%g%s left in stock","Nur noch %s%g%s im Lager vorhanden"
"Only .csv file format is supported.","Es wird nur das .csv-Dateiformat unterstützt."
"Only <span id=""","Nur <span id="""
"Order by SKU","Bestellung über SKU"
"Order by SKU Description","Bestellung über SKU-Beschreibung"
"Order by SKU Settings","Bestellung über SKU-Einstellungen"
"Order by SKU Template","Bestellung über SKU-Vorlage"
"Ordered item id is not received.","Die bestellte Artikelnummer wurde nicht empfangen."
"Ordered item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Please enter a valid number in the ""Qty"" field.","Bitte geben Sie eine gültige Zahl im ""Qty""-Feld an."
"Please specify the product\'s options.","Bitte geben Sie die Produktoptionen an."
"Price","Preis"
"Product","Produkt"
"Product Name","Produktname"
"Product name","Produktbezeichnung"
"Products","Produkte"
"Products in the Comparison List (%s)","Produkte in der Vergleichsliste (%s)"
"Qty","Menge"
"Qty To Add","Menge zum Hinzufügen"
"Quote item id is not received.","Die angegebene Artikelnummer wurde nicht empfangen."
"Quote item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Recently Compared Products (%s)","Kürzlich verglichene Produkte (%s)"
"Recently Viewed Products (%s)","Kürzlich angesehene Produkte (%s)"
"Remove","Entfernen"
"Remove All","Alle entfernen"
"Remove Coupon Code","Gutschein-Code entfernen"
"Requested quantity is not available.","Die angefragte Menge ist nicht verfügbar."
"Reset","Zurücksetzen"
"Row Subtotal","Zeile Zwischensumme"
"SKU","SKU"
"SKU not found in catalog.","SKU nicht im Katalog gefunden."
"SKU: ","SKU:"
"Shopping Cart","Warenkorb"
"Shopping Cart Items","Artikel im Warenkorb"
"Shopping Cart Management","Warenkorb Management"
"Shopping Cart for %s in %s","Warenkorb für %s in %s"
"Shopping cart management disabled for this customer.","Warenkorbmanagement für diesen Kunden deaktiviert."
"Specify the product\'s options","Geben Sie die Produktoptionen an"
"Store not found.","Filiale nicht gefunden."
"Subtotal","Zwischensumme"
"Subtotal:","Zwischensumme:"
"The product cannot be added to cart in requested quantity.","Dieses Produkt kann mit der gewünschten Menge nicht zum Einkaufswagen hinzugefügt werden."
"The product cannot be added to cart.","Das Produkt kann nicht zum Einkaufswagen hinzugefügt werden."
"The products is assigned to another website.","Die Produkte wurden einer anderen Webseite zugeordnet."
"The text of the link to the My Account > Order by SKU page","Der Text des Links zur Seite Mein Konto > Bestellung über SKU"
"Total","Summe"
"Total %d product(s)","Summe %d Produkt€"
"Total incl. tax","Summe inkl. Steuer"
"Update Items and Qty\'s","Artikel und Mengen aktualisieren"
"View Shopping Cart","Warenkorb anzeigen"
"View and modify Shopping Cart","Warenkorb anzeigen und bearbeiten"
"Wishlist (%s)","Wunschliste (%s)"
"Wishlist item id is not received.","Die Artikelnummer des Artikels auf der Wunschliste wurde nicht empfangen."
"Wishlist item is not loaded.","Der Artikel auf der Wunschliste wird nicht geladen."
"Yes, for Everyone","Ja, für alle"
"Yes, for Specified Customer Groups","Ja, für Bestimmte Kundengruppen"
"You have %d item(s) requiring attention.","Sie haben %d Artikel, die Ihre Aufmerksamkeit benötigen."
"You have not entered any product sku.","Sie haben noch keine Produkt-SKU angegeben."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","Sie haben noch keine Produkt-SKU angegeben. Bitte <a href=""%s"">klicken Sie hier</a>, um Produkte über die SKU hinzuzufügen."
