"%s product requires your attention.","%s product heeft je attentie nodig."
"%s product was added to your shopping cart.","%s product is toegevoegd aan je winkelwagen."
"%s products require your attention.","%s producten hebben je attentie nodig."
"%s products were added to your shopping cart.","%s producten zijn toegevoegd aan je winkelwagen."
"%s was added to your shopping cart.","%s werd toegevoegd aan uw winkelwagentje."
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> product(en) heeft/hebben je attentie nodig"
"Access denied.","Toegang geweigerd"
"Action","actie"
"Add Products","producten toevoegen"
"Add Products By SKU","Voeg producten toe door SKU"
"Add Products to Order","Voeg producten toe aan bestelling"
"Add Selected Product(s) to Shopping Cart","voeg geselecteerde producten toe aan winkelwagen"
"Add To Cart","Voeg toe aan winkelwagen"
"Add to Order","Toevoegen aan de Order"
"Add to Order by SKU","Voeg toe aan bestelling door SKU"
"Add to Shopping Cart","Voeg toe aan winkelwagen"
"Add to Shopping Cart by SKU","Voeg toe aan winkelwagen door SKU"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Toegestane bestandstypen: csv.<br/> Bestand dient twee kolommen te bevatten, met ""sku"" en ""qty"" in de eerste rij."
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"Apply","Invullen"
"Apply Coupon","Pas Coupon Toe"
"Apply Coupon Code","Vul couponcode in"
"Are you sure you want to delete all items from shopping cart?","Bent u er zeker van om alle producten te verwijderen uit de winkelwagen?"
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"Cancel","annuleren"
"Cannot add product","Kan product niet toevoegen"
"Cannot configure product","Kan product niet aanpassen"
"Choose some products to add to shopping cart.","Kies een aantal producten om aan uw winkelwagen toe te voegen."
"Clear Shopping Cart","Maak winkelwagen leeg"
"Configure","Configureren"
"Coupon code ""%s"" is not valid","Kortingscode ""%s"" is niet geldig"
"Customer Groups","Klantgroepen"
"Customer not found","klant niet gevonden"
"Customers","klanten"
"Defines whether a link to My Account > Order by SKU page will be displayed on the widget","Bepaalt of een link naar Mijn Account > Bestelling via SKU pagina getoond wordt op de widget"
"Disabled products cannot be added.","Niet actieve producten kunnen niet worden toegevoegd."
"Discount","korting"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Enable Order by SKU on My Account in Frontend","Sta Bestelling toe via SKU op Mijn Account in Frontend"
"Excl. Tax","exclusief btw"
"Failed to add a product of order item","Niet gelukt om een product toe te voegen van het bestelde item"
"Failed to reorder item","niet gelukt om item opnieuw te bestellen"
"File","Bestand"
"File cannot be uploaded.","Bestand kan niet worden geupload."
"File is corrupt.","Bestand is beschadigd."
"File is empty.","Bestand is leeg."
"Get notified when back in stock","Ontvang een bericht als het product weer op voorraad is"
"ID","identiteit"
"Incl. Tax","inclusief btw"
"Invalid block: %s.","Ongeldig blok: %s"
"Item was successfully removed.","Product is succesvol verwijderd."
"Items were successfully removed.","Producten zijn succesvol verwijderd."
"Last ordered items (%s)","laatst bestelde items"
"Link Text","Linktekst"
"Load a list of SKUs","Laad een lijst met SKU's"
"Manage Customers","manage klanten"
"Manage Shopping Cart","manage winkelwagen"
"Move to Wishlist","ga naar verlanglijstje"
"No","Nee"
"No ordered items","geen bestelde items"
"Only %s%g%s left in stock","Slechts %s%g%s nog op voorraad"
"Only .csv file format is supported.","Alleen .csv bestanden worden ondersteund."
"Only <span id=""","Alleen <span id="""
"Order by SKU","Bestelling via SKU"
"Order by SKU Description","Bestelling via SKU Omschrijving"
"Order by SKU Settings","Bestelling via SKU Instellingen"
"Order by SKU Template","Bestelling via SKU Template"
"Ordered item id is not received.","I.D. van het bestelde product is niet ontvangen."
"Ordered item is not loaded.","Bestelde product is niet geladen."
"Please enter a valid number in the ""Qty"" field.","Gelieve een geldig nummer in te voeren in het ""Qty"" veld."
"Please specify the product\'s options.","Gelieve de product opties verder te specificeren."
"Price","prijs"
"Product","product"
"Product Name","productnaam"
"Product name","Productnaam"
"Products","producten"
"Products in the Comparison List (%s)","producten in de vergelijkingslijst"
"Qty","hoeveelheid"
"Qty To Add","hoeveelheid om toe te voegen"
"Quote item id is not received.","I.D. van het quote product is niet ontvangen."
"Quote item is not loaded.","Quote product is niet geladen."
"Recently Compared Products (%s)","recent vergeleken producten"
"Recently Viewed Products (%s)","recent bekeken producten"
"Remove","weghalen"
"Remove All","Alle verwijderen"
"Remove Coupon Code","haal couponcode weg"
"Requested quantity is not available.","Gevraagde hoeveelheid is niet beschikbaar."
"Reset","Opnieuw"
"Row Subtotal","rij van het subtotaal"
"SKU","stock keeping unit"
"SKU not found in catalog.","SKU niet gevonden in de catalogus."
"SKU: ","SKU:"
"Shopping Cart","winkelwagen"
"Shopping Cart Items","items in winkelwagen"
"Shopping Cart Management","manage winkelwagen"
"Shopping Cart for %s in %s","winkelwagen voor ... in ...."
"Shopping cart management disabled for this customer.","winkelwagen management uitgeschakeld voor deze klant"
"Specify the product\'s options","Productopties verder specificeren"
"Store not found.","Winkel niet gevonden"
"Subtotal","subtotaal"
"Subtotal:","subtotaal"
"The product cannot be added to cart in requested quantity.","Het product kan niet worden toegevoegd aan het winkelwagentje in de gevraagde hoeveelheid."
"The product cannot be added to cart.","Het product kan niet worden toegevoegd aan het winkelwagentje."
"The products is assigned to another website.","De producten zijn toegewezen aan een andere website."
"The text of the link to the My Account > Order by SKU page","De tekst van de link naar Mijn Account > Bestelling via SKU pagina"
"Total","totaal"
"Total %d product(s)","totaal ... producten"
"Total incl. tax","totaal inclusief btw"
"Update Items and Qty\'s","Update Items en Hoeveelheden"
"View Shopping Cart","kijk in winkelwagen"
"View and modify Shopping Cart","bekijk en pas de winkelwagen aan"
"Wishlist (%s)","verlanglijstje"
"Wishlist item id is not received.","I.D. van het verlanglijst product is niet ontvangen."
"Wishlist item is not loaded.","Verlanglijst product is niet geladen."
"Yes, for Everyone","Ja, voor iedereen"
"Yes, for Specified Customer Groups","Ja, voor speciale klantengroepen"
"You have %d item(s) requiring attention.","U heeft %d zaken die u aandacht nodig hebben."
"You have not entered any product sku.","U heeft niet een product sku opgegeven."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","U heeft geen product sku opgegeven. <a href=""%s"">Klik hier</a> alstublieft om producten toe te voegen door sku."
